mol	atoms	thresh	g0w0_ev	d_ip_mev	wall_s	speedup
H2O	3	0	12.889	0.0	14.0	1.00
H2O	3	1e-4	12.889	0.0	13.8	1.01
H2O	3	1e-3	12.890	1.0	13.2	1.06
H2O	3	1e-2	12.886	-3.0	12.6	1.11
C6H6	12	0	9.508	0.0	119.5	1.00
C6H6	12	1e-4	9.508	0.0	133.8	0.89
C6H6	12	1e-3	9.509	1.0	116.9	1.02
C6H6	12	1e-2	9.506	-2.0	103.8	1.15
C7H8	15	0	9.140	0.0	337.1	1.00
C7H8	15	1e-4	9.140	0.0	280.6	1.20
C7H8	15	1e-3	9.140	0.0	252.2	1.34
C7H8	15	1e-2	9.137	-3.0	240.8	1.40
